Date,S&P 500,Dow Jones,Nasdaq Composite,Russell 2000,Nasdaq 100,FTSE 100,DAX
2010-11-22,1197.8399658203125,11178.580078125,2532.02001953125,727.3300170898438,2150.860107421875,5680.7998046875,6822.0498046875
2010-11-23,1180.72998046875,11036.3701171875,2494.949951171875,719.9299926757812,2116.610107421875,5581.2998046875,6705.0
2010-11-24,1198.3499755859375,11187.2802734375,2543.1201171875,736.530029296875,2160.52001953125,5657.10009765625,6823.7998046875
2010-11-25,,,,,,5698.89990234375,6879.66015625
2010-11-26,1189.4000244140625,11091.8701171875,2534.56005859375,732.72998046875,2153.909912109375,5668.7001953125,6848.97998046875
2010-11-29,1187.760009765625,11052.490234375,2525.219970703125,731.9500122070312,2144.56005859375,5551.0,6697.97021484375
2010-11-30,1180.550048828125,11006.01953125,2498.22998046875,727.010009765625,2117.330078125,5528.2998046875,6688.490234375
2010-12-01,1206.0699462890625,11255.7802734375,2549.429931640625,743.1400146484375,2162.830078125,5642.5,6866.6298828125
2010-12-02,1221.530029296875,11362.41015625,2579.35009765625,751.2000122070312,2185.300048828125,5767.60009765625,6957.60986328125
2010-12-03,1224.7099609375,11382.08984375,2591.4599609375,756.4199829101562,2191.169921875,5745.2998046875,6947.72021484375
2010-12-06,1223.1199951171875,11362.1904296875,2594.919921875,760.8599853515625,2189.81005859375,5770.2998046875,6954.3798828125
2010-12-07,1223.75,11359.16015625,2598.489990234375,764.4199829101562,2189.35009765625,5808.5,7001.91015625
2010-12-08,1228.280029296875,11372.48046875,2609.159912109375,764.0399780273438,2200.60009765625,5794.5,6975.8701171875
2010-12-09,1233.0,11370.0595703125,2616.669921875,767.6300048828125,2201.570068359375,5808.0,6964.16015625
2010-12-10,1240.4000244140625,11410.3203125,2637.5400390625,776.8300170898438,2215.340087890625,5813.0,7006.169921875
2010-12-13,1240.4599609375,11428.5595703125,2624.909912109375,772.0999755859375,2207.449951171875,5860.7998046875,7029.39013671875
2010-12-14,1241.5899658203125,11476.5400390625,2627.719970703125,771.6599731445312,2212.590087890625,5891.2001953125,7027.39990234375
2010-12-15,1235.22998046875,11457.4697265625,2617.219970703125,768.3599853515625,2202.449951171875,5882.2001953125,7016.3701171875
2010-12-16,1242.8699951171875,11499.25,2637.31005859375,776.5599975585938,2218.02001953125,5881.10009765625,7024.39990234375
2010-12-17,1243.9100341796875,11491.91015625,2642.969970703125,779.510009765625,2218.2900390625,5871.7998046875,6982.4501953125
2010-12-20,1247.0799560546875,11478.1298828125,2649.56005859375,782.2999877929688,2223.0400390625,5891.60009765625,7018.60009765625
2010-12-21,1254.5999755859375,11533.16015625,2667.610107421875,790.52001953125,2234.570068359375,5951.7998046875,7077.990234375
2010-12-22,1258.8399658203125,11559.490234375,2671.47998046875,790.5900268554688,2235.909912109375,5983.5,7067.919921875
2010-12-23,1256.77001953125,11573.490234375,2665.60009765625,788.9600219726562,2230.27001953125,5996.10009765625,7057.68994140625
2010-12-24,,,,,,6008.89990234375,
2010-12-27,1257.5400390625,11555.0302734375,2667.27001953125,792.3499755859375,2229.860107421875,,6970.72998046875
2010-12-28,1258.510009765625,11575.5400390625,2662.8798828125,789.4600219726562,2227.419921875,,6972.10009765625
2010-12-29,1259.780029296875,11585.3798828125,2666.929931640625,790.260009765625,2231.639892578125,5996.39990234375,6995.47021484375
2010-12-30,1257.8800048828125,11569.7099609375,2662.97998046875,789.739990234375,2225.719970703125,5971.0,6914.18994140625
2010-12-31,1257.6400146484375,11577.509765625,2652.8701171875,783.6500244140625,2217.860107421875,5899.89990234375,
2011-01-03,1271.8699951171875,11670.75,2691.52001953125,798.5599975585938,2254.22998046875,,6989.740234375
2011-01-04,1270.199951171875,11691.1796875,2681.25,785.8300170898438,2251.4599609375,6013.89990234375,6975.35009765625
2011-01-05,1276.56005859375,11722.8896484375,2702.199951171875,795.0900268554688,2270.39990234375,6043.89990234375,6939.81982421875
2011-01-06,1273.8499755859375,11697.3095703125,2709.889892578125,791.4199829101562,2277.510009765625,6019.5,6981.39013671875
2011-01-07,1271.5,11674.759765625,2703.169921875,787.8300170898438,2276.699951171875,5984.2998046875,6947.83984375
2011-01-10,1269.75,11637.4501953125,2707.800048828125,791.5800170898438,2284.3798828125,5956.2998046875,6857.06005859375
2011-01-11,1274.47998046875,11671.8798828125,2716.830078125,794.760009765625,2288.72998046875,6014.0,6941.56982421875
2011-01-12,1285.9599609375,11755.4404296875,2737.330078125,801.3599853515625,2304.8798828125,6050.7001953125,7068.77978515625
2011-01-13,1283.760009765625,11731.900390625,2735.2900390625,800.6500244140625,2305.530029296875,6023.89990234375,7075.10986328125
2011-01-14,1293.239990234375,11787.3798828125,2755.300048828125,807.5700073242188,2323.429931640625,6002.10009765625,7075.7001953125
2011-01-17,,,,,,5985.7001953125,7078.06005859375
2011-01-18,1295.02001953125,11837.9296875,2765.85009765625,807.5599975585938,2328.7900390625,6056.39990234375,7143.4501953125
2011-01-19,1281.9200439453125,11825.2900390625,2725.360107421875,786.8900146484375,2303.320068359375,5976.7001953125,7082.759765625
2011-01-20,1280.260009765625,11822.7998046875,2704.2900390625,778.0800170898438,2286.080078125,5867.89990234375,7024.27001953125
2011-01-21,1283.3499755859375,11871.83984375,2689.5400390625,773.1799926757812,2268.320068359375,5896.2998046875,7062.419921875
2011-01-24,1290.8399658203125,11980.51953125,2717.550048828125,779.280029296875,2300.389892578125,5943.89990234375,7067.77001953125
2011-01-25,1291.1800537109375,11977.1904296875,2719.25,779.9600219726562,2304.030029296875,5917.7001953125,7059.009765625
2011-01-26,1296.6300048828125,11985.4404296875,2739.5,793.719970703125,2314.18994140625,5969.2001953125,7127.35009765625
2011-01-27,1299.5400390625,11989.830078125,2755.280029296875,795.4299926757812,2330.070068359375,5965.10009765625,7155.580078125
2011-01-28,1276.3399658203125,11823.7001953125,2686.889892578125,775.4000244140625,2270.510009765625,5881.39990234375,7102.7998046875
2011-01-31,1286.1199951171875,11891.9296875,2700.080078125,781.25,2281.909912109375,5862.89990234375,7077.47998046875
2011-02-01,1307.5899658203125,12040.16015625,2751.18994140625,798.8900146484375,2324.949951171875,5957.7998046875,7184.27001953125
2011-02-02,1304.030029296875,12041.9697265625,2749.56005859375,796.1599731445312,2321.090087890625,6000.10009765625,7183.669921875
2011-02-03,1307.0999755859375,12062.259765625,2753.8798828125,798.6300048828125,2323.070068359375,5983.2998046875,7193.68017578125
2011-02-04,1310.8699951171875,12092.150390625,2769.300048828125,800.1099853515625,2338.199951171875,5997.39990234375,7216.2099609375
2011-02-07,1319.050048828125,12161.6298828125,2783.989990234375,808.3200073242188,2349.199951171875,6051.0,7283.6201171875
2011-02-08,1324.5699462890625,12233.150390625,2797.050048828125,813.6900024414062,2363.610107421875,6091.2998046875,7323.240234375
2011-02-09,1320.8800048828125,12239.8896484375,2789.070068359375,809.27001953125,2360.949951171875,6052.2998046875,7320.89990234375
2011-02-10,1321.8699951171875,12229.2900390625,2790.449951171875,812.7000122070312,2364.35009765625,6020.0,7340.27978515625
2011-02-11,1329.1500244140625,12273.259765625,2809.43994140625,822.1099853515625,2379.14990234375,6062.89990234375,7371.2001953125
2011-02-14,1332.3199462890625,12268.1904296875,2817.179931640625,825.9000244140625,2385.60009765625,6060.10009765625,7396.6298828125
2011-02-15,1328.010009765625,12226.6396484375,2804.35009765625,820.030029296875,2381.919921875,6037.10009765625,7400.0400390625
2011-02-16,1336.3199462890625,12288.169921875,2825.56005859375,828.3699951171875,2397.93994140625,6085.2998046875,7414.2998046875
2011-02-17,1340.4300537109375,12318.1396484375,2831.580078125,834.02001953125,2397.570068359375,6087.39990234375,7405.509765625
2011-02-18,1343.010009765625,12391.25,2833.949951171875,834.8200073242188,2392.469970703125,6083.0,7426.81005859375
2011-02-21,,,,,,6014.7998046875,7321.81005859375
2011-02-22,1315.43994140625,12212.7900390625,2756.419921875,812.9600219726562,2322.860107421875,5996.7998046875,7318.35009765625
2011-02-23,1307.4000244140625,12105.7802734375,2722.989990234375,799.6500244140625,2300.93994140625,5923.5,7194.60009765625
2011-02-24,1306.0999755859375,12068.5,2737.89990234375,804.1799926757812,2313.31005859375,5920.0,7130.5
